group_id;material_id;item_qty;item_dim_1;item_dim_2;item_dim_3;item_class
397;13686;1.003;;;;I2-004-6
396;12456;0.0112;80;140;;I2-004-5
395;12456;0.0128;80;160;;I2-004-4
394;13686;1.054;;;;I2-004-3
393;13686;0.805;;;;I2-004-2
392;47688;0.839;795;1055;;I2-004-1
65436;49689;0.145;;;;
409;12456;0.016;80;200;;I2-005-19
410;12456;0.026;100;260;;I2-005-18
411;13684;2.067;;;;I2-005-17
412;13688;1.521;;;;I2-005-16
413;13688;1.521;;;;I2-005-15
414;13688;1.191;;;;I2-005-14
415;47689;0.84;789;1250;;I2-005-13
416;47689;0.82;677;1209;;I2-005-12
417;12362;0.71;;;;I2-005-11
418;12362;1.31;;;;I2-005-10
419;12362;0.51;;;;I2-005-9
420;12366;0.71;;;;I2-005-8
421;12366;1.31;;;;I2-005-7
422;12366;0.51;;;;I2-005-6
423;13680;1.29;;;;I2-005-5
424;13680;1.29;;;;I2-005-4
425;13680;0.71;;;;I2-005-3
426;13680;1.345;;;;I2-005-2
408;13680;0.51;;;;I2-005-1
1283;13680;0.078;;;;
1462;12378;0.064;;;;
2677;12357;0.791;;;;
1288;13687;0.172;;;;
51977;55361;1.554;;;;
64746;50723;1.609;1549;1039;;
51967;14450;0.0276;150;184;;
64747;50723;1.715;1228;1397;;
1284;13809;0.14;;;;(SOB)
1283;65436;0.3;;;;
1287;47798;0.09;;;;(SOB)
63504;12380;0.575;;;;(SOB)
1285;49923;0.0774;90;860;;(SOB)
17012;13700;1.374;;;;
1286;62192;1;;;;(SOB)
1286;12380;0.575;;;;
3253;13680;1.564;;;I1-090;
1282;14075;2;;;;(SOB)
1280;58981;0.2;;;;
433;12455;0.008;160;50;;
437;13836;0.433;433;;;
432;13835;0.005;5;;;
435;12362;0.346;346;;;
434;12362;1;1000;;;
436;13836;1.12;1120;;;
441;12362;1.406;1406;;;
444;13836;0.433;433;;;
443;13836;1.186;1186;;;
442;13836;1.472;1472;;;
440;14124;2.465;2645;;;
439;14124;3.84;3840;;;
438;14124;1.195;1195;;;
447;13687;1.4;1400;;;
448;13687;1.388;1388;;;
449;13687;1.1;1100;;;
450;13684;0.988;988;;;
453;12455;0.005625;75;75;;
454;12372;3.948;3948;;;
455;12367;2.306;2306;;;
456;12366;2.083;2083;;;
457;12367;2.079;2079;;;
458;12367;1.282;1282;;;
459;14117;0.076;76;;;
460;14051;0.463;463;;;
461;14115;0.285;285;;;
462;13666;0.25;250;;;
464;13666;2.775;2775;;;
465;12458;0.04;200;200;;
478;47798;1.413;1413;;;
479;47798;1.019;1019;;;
480;47798;0.67;670;;;
481;47798;0.054;54;;;
474;13836;1.584;1584;;;
475;13836;1.126;1126;;;
476;13836;0.767;767;;;
477;13836;1.189;1189;;;
473;14124;2.4;2400;;;
472;14124;1.202;1202;;;
471;14124;2.763;2763;;;
483;13687;1.4;1400;;;
484;13687;1.006;1006;;;
485;13687;0.985;985;;;
486;13684;0.985;985;;;
487;13666;2.425;2425;;;
488;12458;0.04;200;200;;
489;12458;0.0144;120;120;;
490;13684;0.386;386;;;
491;12372;3.433;3433;;;
492;12367;2.079;2079;;;
493;12367;2.306;2306;;;
494;12366;0.99;990;;;
495;12367;1.282;1282;;;
496;14117;0.076;76;;;
497;14115;0.285;285;;;
498;12455;0.005625;75;75;;
499;14051;0.463;463;;;
501;13687;5.9;5900;;;
502;13687;1.895;1895;;;
503;13687;5.89;5890;;;
504;13684;1.09;1090;;;
505;13684;0.789;789;;;
507;13666;0.25;250;;;
508;13666;1.535;1535;;;
510;12372;4.098;4098;;;
511;12367;2.306;2306;;;
513;12367;2.079;2079;;;
514;12367;1.282;1282;;;
512;12366;2.083;2083;;;
515;14117;0.076;76;;;
516;14115;0.285;285;;;
517;12455;0.005625;75;75;;
518;14051;0.463;463;;;
525;14124;1.905;1905;;;
526;14124;5.93;5930;;;
527;14124;2.905;2905;;;
528;14124;2.435;2435;;;
529;14124;2.135;2135;;;
530;14124;1.845;1845;;;
531;14124;1.195;1195;;;
532;13836;0.772;772;;;
533;13836;1.117;1170;;;
534;13836;1.47;1470;;;
535;13836;0.762;762;;;
536;13836;1.299;1299;;;
537;13836;2.084;2084;;;
538;13836;1.097;1097;;;
539;13836;0.267;267;;;
540;13836;4.785;4785;;;
541;13700;0.05;50;;;
542;12362;0.686;686;;;
549;12362;0.175;175;;;
543;12362;1.17;1170;;;
544;12362;1.47;1470;;;
545;12362;0.676;676;;;
547;12362;1.9;1900;;;
546;12362;1.005;1005;;;
548;12362;1.005;1005;;;
553;14124;2.763;2763;;;
554;14124;1.202;1202;;;
555;13836;1.584;1584;;;
556;13836;1.126;1126;;;
557;47798;1.413;1413;;;
558;47798;1.019;1019;;;
559;47798;0.054;54;;;
560;14124;2.4;2400;;;
561;13836;1.189;1189;;;
562;13836;0.767;767;;;
563;47798;0.67;670;;;
564;13666;2.425;2425;;;
565;12458;0.04;200;200;;
566;12458;0.0144;120;120;;
567;13684;0.389;389;;;
568;13687;1.4;1400;;;
569;13687;1.006;1006;;;
570;13687;0.985;985;;;
571;13684;0.985;988;;;
572;12372;3.433;3433;;;
573;12367;2.079;2079;;;
574;12367;2.306;2306;;;
575;12366;0.99;990;;;
576;12372;1.282;1282;;;
577;14117;0.076;76;;;
578;14115;0.285;285;;;
579;12455;0.005625;75;75;;
580;14051;0.463;463;;;
581;14124;2.763;2763;;;
582;14124;1.202;1202;;;
583;13836;1.584;1584;;;
584;13836;1.126;1126;;;
585;47798;1.413;1413;;;
586;47798;1.019;1019;;;
587;47798;0.054;54;;;
588;14124;2.4;2400;;;
589;13836;1.189;1189;;;
590;13836;0.767;767;;;
591;47798;0.67;670;;;
592;13666;2.425;2425;;;
593;12458;0.04;200;200;;
594;12458;0.0144;120;120;;
595;13684;0.389;389;;;
596;13687;1.4;1400;;;
597;13687;1.006;1006;;;
598;13687;0.985;985;;;
599;13684;0.985;988;;;
600;12372;3.433;3433;;;
601;12367;2.079;2079;;;
602;12367;2.306;2306;;;
603;12366;0.99;990;;;
604;12372;1.282;1282;;;
605;14117;0.076;76;;;
606;14115;0.285;285;;;
607;12455;0.005625;75;75;;
608;14051;0.463;463;;;
621;12460;0.01177;0.107;0.11;;
622;12460;0.0234;0.13;0.18;;
623;14423;2.1;;;;
718;14036;3.133;3133;;;
719;14036;0.45;450;;;
720;14036;1.202;1202;;;
721;14036;0.646;646;;;
722;13699;0.05;50;;;
723;13834;0.005;5;;;
724;47798;0.5;500;;;
725;47798;0.816;816;;;
726;14036;2.795;2795;;;
727;14036;2.742;2742;;;
728;14036;0.5;500;;;
729;14036;0.125;125;;;
730;14036;0.075;75;;;
731;14036;0.275;275;;;
732;13684;1.3;1300;;;
733;13684;0.5;500;;;
734;13684;0.49;490;;;
735;14036;3.133;3133;;;
736;14036;0.45;450;;;
737;14036;1.202;1202;;;
738;14036;0.646;646;;;
739;13699;0.05;50;;;
740;14036;2.795;2795;;;
741;14036;2.742;2742;;;
742;14036;0.5;500;;;
743;14036;0.125;125;;;
744;14036;0.075;75;;;
745;14036;0.275;275;;;
746;13684;1.3;1300;;;
747;13684;0.5;500;;;
748;13684;0.49;490;;;
749;14036;2.724;2724;;;
750;14036;0.37;370;;;
751;47798;0.815;815;;;
760;47798;0.435;435;;;
761;47798;0.43;430;;;
762;14036;1.202;1202;;;
763;14036;0.646;646;;;
764;14036;3.063;3063;;;
765;14036;3.042;3042;;;
766;14036;0.075;75;;;
767;14036;0.5;500;;;
768;14036;0.125;125;;;
769;14036;0.37;370;;;
770;13699;0.05;50;;;
771;12455;0.012;150;80;;
772;13684;1.3;1300;;;
773;13684;0.43;430;;;
774;13684;0.42;420;;;
794;12458;0.04;200;200;;
796;12458;0.0225;150;150;;
1363;27748;1;;;;
42556;12366;1.593;;;;
51987;55361;5.995;;;;
51981;55361;5.902;;;;
42557;12366;1.885;;;;
51988;55361;6.013;;;;
51984;55361;2.551;;;;
42562;12366;0.866;;;;
42561;12366;3.192;;;;
42563;12366;1.385;;;;
64748;12362;1.317;;;;
51985;55361;2.549;;;;
42559;12366;0.511;;;;
51980;55361;5.904;;;;
51982;55361;0.442;;;;
51986;55361;2.384;;;;
42560;12366;0.917;;;;
42564;12366;2.293;;;;
1364;27748;1;;;;
51978;55361;3.177;;;;
51967;14450;0.014;200;70;;
64749;50723;1.246;1431;871;;
42558;12366;1.967;;;;
42565;12362;1.593;;;;
51976;55361;2.777;;;;
51975;55361;4.776;;;;
1330;27748;1;;;;
1331;27748;1;;;;
1333;12456;0.0676;260;260;;(REC)
1370;12458;0.09;300;300;;(SOB)
1370;12405;0.27;;;;
1371;12458;0.0625;250;250;;
1371;25962;1.187;;;;
1391;13680;0.118;;;;
1374;12457;0.03;100;300;;
1375;12457;0.1047;300;349;;
1376;12457;0.0288;96;300;;
1377;12457;0.0324;108;300;;
1378;12457;0.0324;108;300;;
1379;12457;0.0324;108;300;;
1380;12457;0.0327;109;300;;
1381;12457;0.06;140;400;;
1382;12458;0.39;500;729;;
1383;12457;0.0175;125;140;;
1384;12458;0.44;500;866;;
1385;12457;0.0125;100;125;;
1386;12458;0.56;500;1132;;
1387;12457;0.021;166;125;;
1388;12459;0.45;500;900;;
1389;12457;0.0125;100;125;;
1390;12459;0.52;500;1020;;
1392;13680;0.148;;;;
1393;13680;0.198;;;;
1498;12380;0.695;;;;
1497;13746;2;;;;(SOB)
1497;12378;0.66;;;;
1488;12365;0.11;;;;
1398;13925;1;;;;(SOB)
1452;27776;1;;;;(SOB)
1402;12388;0.128;;;;
1405;12460;0.086;140;620;;
1404;12460;0.07;130;540;;
1497;14075;2;;;;(SOB)
1406;12461;0.1;160;670;;
1407;12461;0.16;180;760;;
1408;54455;1;;;;(SOB)
1409;13753;1;;;;(SOB)
1410;50201;1;;;;(SOB)
1424;12549;1;;;;(SOB)
1412;13756;1;;;;(SOB)
1426;12551;1;;;;(SOB)
17015;13673;2.295;;;;
1415;13719;1;;;;(SOB)
62960;50027;1.088;;;;
62964;12456;0.01;151;70;;
62963;13687;1.67;;;;
62962;13687;0.486;;;;
62961;50027;1.1;;;;
1421;12546;1;;;;(SOB)
1422;72943;1;;;;(SOB)
1436;14054;0.57;;;;(SOB)
1437;14440;0.4;;;;(SOB)
1438;13749;2;;;;(SOB)
1413;13757;1;;;;(SOB)
1427;12539;1;;;;(SOB)
1428;12540;1;;;;(SOB)
62955;13687;1.1;;;;
62959;12457;0.047;225;210;;
62958;12457;0.067;320;210;;
62957;13687;1.088;;;;
62956;13687;3.446;;;;
1434;13745;2;;;;(SOB)
1436;13747;2;;;;(SOB)
1450;27752;1;;;;(SOB)
1438;14449;0.33;;;;(SOB)
1439;14442;1.243;;;;(SOB)
62953;13687;0.363;;;;
62952;13687;1.67;;;;
62951;12456;0.01;151;70;;
62954;13687;3.446;;;;
1447;27734;1;;;;(SOB)
1448;27760;1;;;;(SOB)
2504;51729;2;;;;(SOB)
1411;13755;1;;;;(SOB)
2346;12380;0.727;;;;
1400;12381;0.36;;;;
1453;27766;1;;;;(SOB)
1454;27770;1;;;;(SOB)
62946;13688;0.868;;;;
62950;13687;0.486;;;;
62949;13675;1.587;;;;
62948;13675;1.587;;;;
62947;13675;2.372;;;;
62945;13688;0.696;;;;
62940;13688;0.248;;;;
1462;12378;0.143;;;;
62939;13688;2.595;;;;
62938;13688;2.595;;;;
62937;13688;4.571;;;;
62936;13688;3.308;;;;
62935;50027;1.39;;;;
62944;13688;0.696;;;;
62943;13688;2.489;;;;
62942;13688;0.719;;;;
62941;13688;0.753;;;;
62934;50027;2.019;;;;
62929;13688;4.924;;;;
62928;12457;0.053;425;125;;
62927;13675;1.682;;;;
62926;50027;1.39;;;;
62925;50027;2.019;;;;
62924;12456;0.01;148;70;;
62923;12456;0.01;148;70;;
62922;12456;0.01;151;70;;
62933;12456;0.01;148;70;;
62932;12456;0.01;148;70;;
62931;13688;0.988;;;;
62930;13688;4.924;;;;
1486;12457;0.06;300;200;;
15584;12362;3.18;;;;
1488;13744;2;;;;(SOB)
1489;62018;2;;;;(SOB)
1490;12365;0.173;;;;
1491;13744;2;;;;(SOB)
1492;12370;0.224;;;;
1493;14069;2;;;;(SOB)
1494;14069;2;;;;(SOB)
1495;14075;2;;;;(SOB)
1496;14075;2;;;;(SOB)
1498;14096;2;;;;(SOB)
1687324;12455;0.02;144;144;;
1500;14096;2;;;;(SOB)
1501;12380;0.77;;;;
1502;12388;0.925;;;;
1503;14103;2;;;;(SOB)
1504;12388;1.095;;;;
1505;12388;0.135;;;;
136895;13687;0.604;;;;
1507;12388;1.41;;;;
1508;62194;1;;;;(SOB)
1509;62194;1;;;;(SOB)
63502;12378;0.305;;;;(SOB)
1511;62192;1;;;;(SOB)
63503;12380;0.462;;;;(SOB)
63506;12388;0.119;;;;(SOB)
1515;12388;0.607;;;;
1533;12388;0.466;;;;
1513;13748;1;;;;(SOB)
63508;12392;0.119;;;;(SOB)
1517;12392;0.119;;;;
63511;12397;1.074;;;;(SOB)
63512;12397;0.132;;;;(SOB)
63513;12397;0.132;;;;(SOB)
1528;13747;3;;;;(SOB)
1525;14063;3;;;;(SOB)
1527;12370;0.3;;;;
1527;62194;3;;;;(SOB)
1530;13748;3;;;;(SOB)
1530;12380;0.486;;;;
1530;13907;3;;;;(SOB)
1531;12380;0.587;;;;
1525;12365;0.243;;;;
32508;13672;7.5;;;;
1535;12388;0.59;;;;
1536;12392;0.131;;;;
1537;12392;0.742;;;;
1539;12397;1.017;;;;
1540;12397;1.069;;;;
1541;12365;0.18;;;;
1542;12365;0.274;;;;
1543;12370;0.335;;;;
1544;12370;0.408;;;;
15862;50465;4;;;;
1546;13874;2;;;;(SOB)
1547;13746;4;;;;(SOB)
1548;12382;0.081;;;;
1549;12382;0.081;;;;
1550;13747;4;;;;
1551;12457;0.06;150;400;;
1552;13898;4;;;;(SOB)
1553;13898;4;;;;(SOB)
1554;12458;0.1095;608;180;;
1552;13747;4;;;;(SOB)
1556;13750;4;;;;(SOB)
1557;13750;4;;;;(SOB)
1558;13750;4;;;;(SOB)
1559;13750;4;;;;(SOB)
1560;12459;0.275;1250;220;;
1562;49923;0.009;50;150;;(SOB)
1563;49923;0.01;50;190;;(SOB)
1564;49923;0.0115;50;230;;(SOB)
1565;49923;0.0196;70;280;;(SOB)
1566;49923;0.0252;70;360;;(SOB)
1567;49923;0.035;75;440;;(SOB)
1568;49923;0.0477;90;530;;(SOB)
